song_id,song,artist,total_appearances,reentry_count,avg_gap_days,max_gap_days,avg_popularity,peak_popularity,best_position,album_type,is_explicit,duration_min,total_tracks,avg_momentum,peak_momentum,total_momentum,reentry_score,spike_score,recovery_score,fandom_intensity_score
Say Less || TAEMIN,Say Less,TAEMIN,1,0,0.0,0,51.0,51,48,single,False,2.59,7,,,0.0,0.0,,0.0,
Scenery || V,Scenery,V,12,0,0.0,0,67.42,77,23,single,False,4.9,1,4.309090909090909,39.6,47.4,0.0,75.29,1.99,26.85
See that? || NMIXX,See that?,NMIXX,24,0,0.0,0,64.62,70,21,single,False,3.05,6,2.1391304347826083,32.4,49.199999999999996,0.0,61.6,4.16,22.6
Serendipity - Full Length Edition || BTS,Serendipity - Full Length Edition,BTS,1,0,0.0,0,72.0,72,35,album,False,4.61,26,,,0.0,0.0,,0.0,
Set Me Free Pt.2 || Jimin,Set Me Free Pt.2,Jimin,429,0,0.0,0,81.1,87,4,single,True,3.35,1,0.12897196261682245,4.8,55.2,0.0,9.13,77.4,22.55
Set The Tone || aespa,Set The Tone,aespa,5,0,0.0,0,60.8,64,15,album,False,3.38,10,2.25,4.8,9.0,0.0,9.13,0.72,3.38
Seven (David Guetta Remix) || Jung Kook & Latto & David Guetta,Seven (David Guetta Remix),Jung Kook & Latto & David Guetta,4,0,0.0,0,44.5,62,23,single,True,2.62,2,12.399999999999999,34.8,37.199999999999996,0.0,66.16,0.54,23.29
Seven (feat. Latto) (Alesso Remix) || Jung Kook & Latto,Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,8,0,0.0,0,59.5,72,17,single,True,2.71,4,8.057142857142857,37.0,56.4,0.0,70.34,1.27,24.94
Seven (feat. Latto) (Band Ver.) || Jung Kook & Latto,Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,10,0,0.0,0,74.5,77,16,single,False,3.16,5,1.2444444444444445,5.8,11.2,0.0,11.03,1.63,4.27
Seven (feat. Latto) (Explicit Ver.) || Jung Kook,Seven (feat. Latto) (Explicit Ver.),Jung Kook,385,0,0.0,0,86.24,91,1,album,True,3.06,11,0.19791666666666666,43.8,76.0,0.0,83.27,69.44,46.5
Seven (feat. Latto) (Explicit Ver.) || Jung Kook & Latto,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,109,0,0.0,0,98.3,100,1,single,True,3.07,3,0.08333333333333333,5.4,9.0,0.0,10.27,19.53,8.48
Seven (feat. Latto) (Explicit Ver.) || Jung Kook & Latto & BTS,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,2,0,0.0,0,92.0,93,1,single,True,3.07,3,1.2,1.2,1.2,0.0,2.28,0.18,0.84
Seven (feat. Latto) (Instrumental) || Jung Kook & Latto,Seven (feat. Latto) (Instrumental),Jung Kook & Latto,20,0,0.0,0,80.2,81,9,single,False,3.07,3,0.7684210526315789,6.0,14.6,0.0,11.41,3.44,4.85
Seven (feat. Latto) (Instrumental) || Jung Kook & Latto & BTS,Seven (feat. Latto) (Instrumental),Jung Kook & Latto & BTS,2,0,0.0,0,78.0,79,12,single,False,3.07,3,1.2,1.2,1.2,0.0,2.28,0.18,0.84
Seven (feat. Latto) (Lofi Mix) || Jung Kook & Latto,Seven (feat. Latto) (Lofi Mix),Jung Kook & Latto,2,0,0.0,0,67.0,68,47,single,False,3.35,7,1.2,1.2,1.2,0.0,2.28,0.18,0.84
Seven (feat. Latto) (Summer Mix) || Jung Kook & Latto,Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,6,0,0.0,0,72.67,78,12,single,False,3.36,5,2.84,5.6,14.2,0.0,10.65,0.9,3.95
Sexy In The Air || TAEMIN,Sexy In The Air,TAEMIN,11,0,0.0,0,55.36,65,27,single,False,3.25,7,4.54,30.0,45.4,0.0,57.03,1.81,20.41
She Smiled || DAY6,She Smiled,DAY6,5,0,0.0,0,53.0,56,27,album,False,3.38,8,1.35,3.0,5.4,0.0,5.7,0.72,2.17
"Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim) || IU","Shh.. (Feat. HYEIN, WONSUN JOE & Special Narr. Patti Kim)",IU,4,0,0.0,0,58.0,58,19,single,False,3.78,5,0.9333333333333332,1.6,2.8,0.0,3.04,0.54,1.2
Shoong! (feat. LISA of BLACKPINK) || TAEYANG,Shoong! (feat. LISA of BLACKPINK),TAEYANG,10,0,0.0,0,78.9,79,40,album,False,3.42,6,0.3777777777777778,1.6,3.4000000000000004,0.0,3.04,1.63,1.47
Shopper || IU,Shopper,IU,18,0,0.0,0,69.0,74,15,single,False,3.6,5,0.9529411764705882,7.2,16.2,0.0,13.69,3.07,5.56
Shot Glass of Tears || Jung Kook,Shot Glass of Tears,Jung Kook,45,2,36.0,62,82.96,86,13,album,False,2.79,11,1.5454545454545454,45.0,68.0,28.57,85.55,7.96,43.36
Shxtty Game || DAY6,Shxtty Game,DAY6,3,0,0.0,0,50.0,53,42,album,False,3.16,8,2.1,3.0,4.2,0.0,5.7,0.36,2.08
Siren || RIIZE,Siren,RIIZE,32,0,0.0,0,65.44,68,8,single,False,2.47,1,0.5935483870967743,4.2,18.400000000000002,0.0,7.98,5.61,4.2
Skrr (feat. GISELLE) || HAON,Skrr (feat. GISELLE),HAON,5,0,0.0,0,55.4,58,30,single,False,3.65,1,1.5,3.6,6.0,0.0,6.84,0.72,2.57
Slime You Out (feat. SZA) || Drake & SZA,Slime You Out (feat. SZA),Drake & SZA,2,0,0.0,0,37.5,75,37,single,True,5.17,1,46.6,46.6,46.6,0.0,88.59,0.18,31.05
Slow Dance (feat. Sofia Carson) || Jimin,Slow Dance (feat. Sofia Carson),Jimin,129,0,0.0,0,76.02,80,6,album,False,3.14,7,0.2375,2.4,30.4,0.0,4.56,23.15,7.38
